Symbol,Name,Last,Change,%Chg,"IV Rank","Options Vol","% Put","% Call","P/C Vol",Time
LW,"Lamb Weston Holdings Inc",92.23,-0.23,-0.25%,85.71%,3635,23.3%,76.7%,0.30333452850484,2023-10-02
OLN,"Olin Corp",48.87,-1.11,-2.22%,35.46%,3628,12.6%,87.4%,0.14411857458215,2023-10-02
WSM,Williams-Sonoma,153.02,-1.19,-0.77%,13.12%,3616,60.1%,39.9%,1.5058905058905,"08:23 ET"
TJX,"TJX Companies",88.28,-0.4,-0.45%,23.14%,3588,45.7%,54.3%,0.84283513097072,"09:06 ET"
TSN,"Tyson Foods",49.24,0,0.00%,41.00%,3572,40.1%,59.9%,0.66837926202709,"09:08 ET"
OZK,"Bank Ozk",35.79,-1.28,-3.45%,23.03%,3569,80.8%,19.2%,4.2102189781022,2023-10-02
AMT,"American Tower Corp",161.71,-2.74,-1.67%,42.23%,3555,39.8%,60.2%,0.66043904717422,2023-10-02
ARRY,"Array Technologies Inc",21.11,-0.25,-1.17%,35.88%,3541,81.0%,19.0%,4.2693452380952,"09:04 ET"
SHEL,"Royal Dutch Shell Plc ADR",63.05,-0.31,-0.49%,27.87%,3524,35.9%,64.1%,0.55998229305002,"09:08 ET"
PETS,"Petmed Express Inc",11.04,0.79,+7.71%,100.00%,3512,5.8%,94.2%,0.061668681983071,2023-10-02
STX,"Seagate Technology Hldgs Plc",65.28,-0.91,-1.37%,42.72%,3485,58.9%,41.1%,1.4302649930265,"08:51 ET"
FREY,"Freyr Battery",4.61,-0.1,-2.12%,40.30%,3473,16.6%,83.4%,0.19882637210908,"09:07 ET"
FNV,"Franco Nev Corp",130.21,-3.28,-2.46%,36.24%,3465,33.1%,66.9%,0.49417852522639,2023-10-02
PXD,"Pioneer Natural Resources Company",222.57,-1.89,-0.84%,29.62%,3458,26.1%,73.9%,0.3528951486698,"09:07 ET"
UNP,"Union Pacific Corp",202.64,-0.99,-0.49%,47.13%,3400,60.0%,40.0%,1.4981631153564,2023-10-02
MELI,"Mercadolibre Inc",1244.01,-15.4,-1.22%,27.92%,3380,44.2%,55.8%,0.79310344827586,"09:09 ET"
PLCE,"Children's Place Inc",26.34,-0.69,-2.55%,52.03%,3376,5.8%,94.2%,0.061969172695816,2023-10-02
SPG,"Simon Property Group",103.87,-0.76,-0.73%,37.55%,3333,31.7%,68.3%,0.46441124780316,"09:08 ET"
DXCM,"Dexcom Inc",92.56,-1.99,-2.10%,58.37%,3287,34.6%,65.4%,0.52883720930233,"08:56 ET"
IOT,"Samsara Inc Cl A",25.15,-0.28,-1.10%,17.03%,3273,38.5%,61.5%,0.62593144560358,"09:08 ET"
ARCC,"Ares Capital Corp",19.1,-0.07,-0.36%,23.75%,3238,55.2%,44.8%,1.2315644383184,"09:09 ET"
VIPS,"Vipshop Holdings Ltd ADR",15.4,-0.53,-3.33%,12.82%,3219,0.9%,99.1%,0.0090909090909091,"09:02 ET"
LNG,"Cheniere Energy",161.9,-0.63,-0.39%,27.10%,3160,64.2%,35.8%,1.791519434629,"09:08 ET"
S,"Sentinelone Inc Cl A",16.64,-0.23,-1.36%,16.98%,3157,17.6%,82.4%,0.21423076923077,"09:06 ET"
FWRD,"Foward Air Corp",68.07,-0.67,-0.97%,95.36%,3155,0.3%,99.7%,0.0031796502384738,2023-10-02
MUX,"Mcewen Mining Inc",6.21,0.1,+1.64%,20.12%,3153,47.7%,52.3%,0.91322815533981,"09:05 ET"
KOS,"Kosmos Energy Ltd",7.65,0.01,+0.13%,15.71%,3139,5.1%,94.9%,0.053355704697987,"09:09 ET"
HA,"Hawaiian Hlds Inc",5.77,-0.02,-0.35%,100.00%,3124,67.0%,33.0%,2.0271317829457,"09:06 ET"
WOLF,"Wolfspeed Inc",37.98,-0.12,-0.31%,78.34%,3117,48.3%,51.7%,0.9360248447205,2023-10-02
GSAT,Globalstar,1.23,0.01,+0.82%,10.95%,3092,5.4%,94.6%,0.056732740943267,"09:06 ET"
APPS,"Digital Turbine",5.95,-0.06,-1.00%,38.35%,3072,19.2%,80.8%,0.23771152296535,"09:07 ET"
CLOV,"Clover Health Investments Corp",1.08,0,0.00%,32.30%,3035,62.3%,37.7%,1.655293088364,"09:06 ET"
EXC,"Exelon Corp",36.22,-0.39,-1.07%,57.57%,3029,62.8%,37.2%,1.6852836879433,"09:08 ET"
VRT,"Vertiv Holdings Llc.",38.01,-0.4,-1.04%,36.30%,3018,26.2%,73.8%,0.35457809694794,"09:06 ET"
CAVA,"Cava Group Inc",30.39,-0.61,-1.96%,24.85%,2979,57.9%,42.1%,1.3774940143655,"09:08 ET"
ADI,"Analog Devices",175.43,0.34,+0.19%,28.94%,2944,30.6%,69.4%,0.44101811062163,2023-10-02
NSC,"Norfolk Southern Corp",191.5,-5.43,-2.76%,58.76%,2931,67.2%,32.8%,2.053125,2023-10-02
INMD,"Inmode Ltd",30,-0.13,-0.43%,48.92%,2896,33.9%,66.1%,0.51306165099269,"09:02 ET"
AEO,"American Eagle Outfitters",16.5,-0.11,-0.66%,13.00%,2883,63.8%,36.2%,1.7588516746411,2023-10-02
VNO,"Vornado Realty Trust",21.78,-0.21,-0.95%,27.10%,2832,19.8%,80.2%,0.24757709251101,"08:51 ET"
NXE,"Nexgen Energy Ltd",5.74,-0.03,-0.52%,50.30%,2825,11.6%,88.4%,0.13135762915499,"09:08 ET"
NTLA,"Intellia Thera CS",29.4,-0.01,-0.03%,30.05%,2814,11.0%,89.0%,0.12380191693291,"09:06 ET"
IEP,"Icahn Enterprises",19.25,-0.23,-1.18%,33.84%,2781,53.3%,46.7%,1.1392307692308,"09:09 ET"
APLS,"Apellis Pharmaceuticals Inc",37,-0.14,-0.38%,33.02%,2755,47.4%,52.6%,0.90131124913734,"09:05 ET"
WPM,"Wheaton Precious Metals",38.97,0.02,+0.05%,27.50%,2748,21.9%,78.1%,0.27992547741034,"09:09 ET"
ALGN,"Align Technology",299.76,-5.56,-1.82%,57.59%,2735,29.3%,70.7%,0.41343669250646,2023-10-02
CNP,"Centerpoint Energy Inc",25.75,0,0.00%,60.50%,2732,96.4%,3.6%,27.164948453608,"08:51 ET"
CDLX,"Cardlytics Inc",13.12,-0.16,-1.20%,29.08%,2704,13.4%,86.6%,0.15407597097738,"09:08 ET"
PPL,"PPL Corp",22.3,-0.25,-1.11%,57.61%,2703,73.7%,26.3%,2.8016877637131,"09:09 ET"
CTRA,"Coterra Energy Inc",26.19,-0.13,-0.49%,29.35%,2666,31.9%,68.1%,0.46806167400881,"09:07 ET"
AMR,"Alpha Metallurgical Resources Inc",251.47,-8.26,-3.18%,31.99%,2659,36.3%,63.7%,0.57058476077968,2023-10-02
HIVE,"Hive Digital Technologies Ltd",3.02,-0.08,-2.47%,10.86%,2650,1.7%,98.3%,0.017274472168906,"09:07 ET"
CMA,"Comerica Inc",40.25,-1.3,-3.13%,22.30%,2639,75.7%,24.3%,3.1234375,2023-10-02
CPG,"Crescent Pt Energy",7.81,-0.07,-0.89%,21.79%,2635,12.2%,87.8%,0.13872082973207,"09:07 ET"
SMR,"Nuscale Power Corp",4.43,-0.08,-1.77%,52.63%,2624,6.1%,93.9%,0.064503042596349,"09:09 ET"
VTLE,"Vital Energy Inc",51,-0.34,-0.66%,29.60%,2624,7.9%,92.1%,0.085194375516956,"09:09 ET"
HUM,"Humana Inc",491.74,5.22,+1.07%,47.73%,2621,63.6%,36.4%,1.744502617801,2023-10-02
FRO,"Frontline Plc",17.92,-0.03,-0.17%,21.72%,2616,62.1%,37.9%,1.6370967741935,"09:09 ET"
GDOT,"Green Dot Corp",13.67,-0.26,-1.87%,66.80%,2614,0.0%,100.0%,0,2023-10-02
HBAN,"Huntington Bcshs",9.96,-0.07,-0.70%,17.11%,2589,39.3%,60.7%,0.6469465648855,"09:03 ET"
ISRG,"Intuitive Surg Inc",292,-2.98,-1.01%,53.97%,2584,54.8%,45.2%,1.2104362703165,"09:08 ET"
SAVA,"Cassava Sciences Inc",16.69,-0.11,-0.65%,13.51%,2581,25.4%,74.6%,0.34077922077922,"09:00 ET"
PSX,"Phillips 66",117,-2.02,-1.70%,28.85%,2526,43.1%,56.9%,0.75660639777469,"09:09 ET"
NRG,"NRG Energy",37.57,0,0.00%,64.65%,2521,78.8%,21.2%,3.7209737827715,"09:03 ET"
CHTR,"Charter Communications Inc",438.5,-1.32,-0.30%,39.65%,2490,80.2%,19.8%,4.0404858299595,2023-10-02
PM,"Philip Morris International Inc",91.28,-0.13,-0.14%,48.85%,2482,62.0%,38.0%,1.6348195329087,"08:57 ET"
QSR,"Restaurant Brands International",65.02,-1.6,-2.40%,51.43%,2479,71.5%,28.5%,2.5113314447592,2023-10-02
AVB,"Avalonbay Communities",168.09,-3.65,-2.13%,41.33%,2453,94.3%,5.7%,16.647482014388,2023-10-02
ACB,"Aurora Cannabis Inc",0.569,0.009,+1.61%,0.00%,108,92.6%,7.4%,12.5,"09:09 ET"
MULN,"Mullen Automotive Inc",0.4508,0.0008,+0.18%,0.00%,50,0.0%,100.0%,0,"09:09 ET"
REAL,"The Realreal Inc",1.87,-0.03,-1.58%,0.00%,27,63.0%,37.0%,1.7,"08:51 ET"
STNE,"Stoneco Ltd Cl A",10.71,0.03,+0.28%,0.00%,25,0.0%,100.0%,0,"09:00 ET"
SOUN,"Soundhound Ai Inc Cl A",1.95,-0.01,-0.51%,0.00%,18,38.9%,61.1%,0.63636363636364,"09:09 ET"
SNDL,"Sndl Inc",1.75,0,0.00%,0.00%,11,90.9%,9.1%,10,"09:08 ET"
TELL,"Tellurian Inc",1.07,0.01,+0.94%,0.00%,1,100.0%,0.0%,0,"09:06 ET"
WULF,"Terawulf Inc",1.1306,-0.0594,-4.99%,0.00%,1,0.0%,100.0%,0,"09:09 ET"
"Downloaded from Barchart.com as of 10-03-2023 08:48am CDT"
